Size,Time,Instructions
2220,2474753,22378
2223,2731144,21964
2226,1008639,22370
2229,7737542,21874
2232,951320,22378
2235,927690,21887
2238,856831,22391
2241,1124297,21202
2244,17435377,21845
2247,1638156,21874
2250,749621,20097
2253,740903,22552
2256,779771,22357
2259,734767,22357
2262,713030,20063
2265,881518,21168
2268,842553,21168
2271,11261984,21840
2274,713252,22344
2277,641808,20609
2280,768702,21832
2283,1385739,21896
2286,907461,21798
2289,851131,21819
2292,908433,21819
2295,1002917,21798
2298,766831,22344
2301,749988,20609
2304,684306,21840
2307,838479,21840
2310,732230,21840
2313,677711,20672
2316,757951,21810
2319,723992,21860
2322,6008510,21860
2325,679690,22364
2328,955381,22364
2331,723123,21798
2334,888700,22344
2337,819123,21155
2340,1036912,21155
2343,664566,22013
2346,650150,21860
2349,583451,21175
2352,696993,21847
2355,680394,22351
2358,674119,21831
2361,1113458,22364
2364,670848,21881
2367,716201,22385
2370,807693,21868
2373,750965,22538
2376,624231,21797
2379,730908,21154
2382,696847,22351
2385,791799,20070
2388,676048,21839
2391,1428234,21818
2394,1192078,21818
2397,674043,21868
2400,815316,22372
2403,729759,21154
2406,798813,20532
2409,655140,21790
2412,646798,21819
2415,727392,21819
2418,755266,22323
2421,672903,20588
2424,639012,22336
2427,783706,21147
2430,905755,21819
2433,633625,20546
2436,703500,22281
2439,150677263,22281
2442,8355584,20588
2445,1117712,20588
2448,602072,21819
2451,32395945,22323
2454,16069344,22323
2457,10769475,22323
2460,766129,20588
2463,752766,22463
2466,10367271,21167
2469,431465404,22343
2472,2344884,22343
2475,1063409,21154
2478,1068759,21826
2481,767224,21675
2484,853299,21831
2487,651910,22364
2490,962426,21860
2493,663924,22504
2496,619253,20028
2499,654218,21818
2502,694292,21133
2505,809605,22868
2508,707471,22351
2511,760270,22855
2514,625647,22881
2517,898640,22364
2520,1260464,22406
2523,1446552,22428
2526,891686,22364
2529,629092,22868
2532,779858,21154
2535,626922,21700
2538,704057,22876
2541,758186,20595
2544,737436,22889
2547,668663,22889
2550,649320,22364
2553,736410,22911
2556,713867,22868
2559,651227,22868
2562,535792,22351
2565,580681,22855
2568,584436,20567
2571,849365,22315
2574,785965,21672
2577,768532,22861
2580,845962,22344
2583,759159,20546
2586,616062,44140
