Size,Time,Instructions
2465000,2803667,14096
2470000,1607500,13486
2475000,3466333,13895
2480000,2798708,13347
2485000,2031958,14114
2490000,1805208,10170
2495000,2520000,13533
2500000,1906916,8032
2505000,2474834,13567
2510000,1965625,15191
2515000,2618917,13907
2520000,2479834,14603
2525000,2380375,14518
2530000,1506000,14051
2535000,1607583,9348
2540000,2671833,14649
2545000,1895208,14055
2550000,2599333,13946
2555000,2691583,14774
2560000,2437791,15148
2565000,3434750,15746
2570000,3284333,15667
2575000,2210083,9446
2580000,1739208,14513
2585000,2244250,15721
2590000,2412209,15225
2595000,1573750,14489
2600000,1446709,15696
2605000,2507958,15152
2610000,2997833,15095
2615000,2038292,12266
2620000,3537917,15237
2625000,1163833,13162
2630000,1483541,11815
2635000,2477667,15153
2640000,487125,12320
2645000,2484875,14475
2650000,417625,13925
2655000,2940708,15120
2660000,2002042,13828
2665000,1401542,15233
2670000,1900625,14008
2675000,2123056833,14690
2680000,4273084,15305
2685000,1371958,12945
2690000,1248625,13883
2695000,308667,13397
2700000,265291,14527
2705000,1935000,15255
2710000,2686750,15806
2715000,2383166,11748
2720000,3149541,11458
2725000,1165000,13335
2730000,3659208,15549
2735000,578708,13865
2740000,3855458,15120
2745000,233208,14565
2750000,2921833,15179
2755000,266833,15123
2760000,3759834,15033
2765000,2943792,15182
2770000,2958250,15684
2775000,2862708,14543
2780000,3017958,15722
2785000,3177500,14640
2790000,3165875,14333
2795000,3144959,14540
2800000,2978083,15680
2805000,3255708,14687
2810000,2206917,11117
2815000,3314041,12354
2820000,381666,14000
2825000,8918417,13849
2830000,1339750,12737
2835000,1222250,10035
2840000,1333333,15207
2845000,1609791,15208
2850000,2805750,11673
2855000,3249000,14577
2860000,1683000,15090
2865000,3203209,13913
2870000,1573750,11728
2875000,1374750,10515
2880000,1608167,14455
2885000,3268250,15738
2890000,2049833,12734
2895000,1838625,13092
2900000,1693167,13907
2905000,3029375,13045
2910000,1418042,10524
2915000,2644750,15144
2920000,2516916,15658
2925000,1401125,13819
2930000,99773041,13781
2935000,33746916,14463
2940000,245708,15077
2945000,1847000,13912
2950000,1769334,13339
2955000,2297458,13314
2960000,2052250,14559
2965000,1842750,7914
2970000,2892500,13962
2975000,2748625,13233
2980000,2593708,11835
2985000,1818208,13305
2990000,2321708,12640
2995000,3193333,15089
3000000,2230791,15725
3005000,1823875,12666
3010000,1530875,13227
3015000,259667,15250
3020000,249000,14476
3025000,274417,12329
3030000,264625,15230
3035000,269041,14615
3040000,301250,15048
3045000,258833,15611
3050000,1465208,14395
3055000,2617667,14539
3060000,299125,15692
3065000,246666,11206
3070000,238833,12329
3075000,236667,10506
3080000,281041,11180
3085000,256333,11017
3090000,2243667,13912
3095000,9615750,11071
3100000,2659083,15182
3105000,2571875,13259
3110000,3822916,15086
3115000,3756042,14485
3120000,3387583,13221
3125000,2275875,13411
3130000,2198041,14636
3135000,1864125,11823
3140000,1998959,10708
3145000,2559375,14025
3150000,1516584,10110
3155000,2758833,14175
3160000,2680667,15060
3165000,2237792,13267
3170000,1080083,15023
3175000,2285291,11134
3180000,4005750,14518
3185000,3898834,15044
3190000,3440959,15145
3195000,280792,10507
3200000,1036125,10464
3205000,1111083,14467
3210000,1836125,13432
3215000,2085209,15072
3220000,2383250,14585
3225000,1572167,11740
3230000,1466541,11781
3235000,2132333,15211
3240000,2038500,10519
3245000,3022208,14504
3250000,2494584,14555
3255000,2038125,12291
3260000,80326167,11211
3265000,3728917,15263
3270000,1898500,11963
3275000,2206250,12253
3280000,2577916,14754
3285000,1859250,14059
3290000,1533750,8617
3295000,2119958,15451
3300000,2056792,14156
3305000,1670458,9597
3310000,1684209,12237
3315000,2135208,11428
3320000,2505042,14122
3325000,1764042,13337
3330000,2251291,13374
3335000,2038875,8176
3340000,2800167,15297
3345000,2337333,15511
3350000,2247375,8630
3355000,2954209,14185
3360000,2685833,14771
3365000,99398000,15107
3370000,227667,15305
3375000,2410291,15365
3380000,267125,14144
3385000,269125,11698
3390000,2876666,14715
3395000,2209458,9539
3400000,798084,14704
3405000,1216000,8137
3410000,2290125,14721
3415000,922500,15173
3420000,991541,14543
3425000,2622666,15102
3430000,3108500,15081
3435000,2610166,13239
3440000,258958,15026
